X1A	0
X1B	0
X1C	0
X1D	0
X1E	0
X1F	0
X2A	0
X2B	0
X2C	0
X2D	0
X2E	0
X2F	0
X3A	0
X3B	0
X3C	0
X3D	0
X3E	0
X3F	0
X4A	1
X4B	0
X4C	0
X4D	0
X4E	0
X4F	0
X5A	0
X5B	0
X5C	0
X5D	0
X5E	0
X5F	0
X6A	0
X6B	0
X6C	0
X6D	0
X6E	0
X6F	0
X7A	0
X7B	0
X7C	0
X7D	0
X7E	0
X7F	0
X8A	0
X8B	0
X8C	0
X8D	0
X8E	0
X8F	0
X9A	0
X9B	0
X9C	0
X9D	0
X9E	0
X9F	0
X10A	0
X10B	0
X10C	0
X10D	0
X10E	0
X10F	0
X11A	0
X11B	0
X11C	0
X11D	0
X11E	0
X11F	0
X12A	0
X12B	0
X12C	0
X12D	0
X12E	0
X12F	0
X13A	0
X13B	0
X13C	0
X13D	0
X13E	0
X13F	0
X14A	0
X14B	0
X14C	0
X14D	0
X14E	0
X14F	0
X15A	0
X15B	0
X15C	0
X15D	0
X15E	0
X15F	0
X16A	0
X16B	0
X16C	0
X16D	0
X16E	0
X16F	0
X17A	0
X17B	0
X17C	0
X17D	0
X17E	0
X17F	0
X18A	0
X18B	0
X18C	0
X18D	0
X18E	0
X18F	0
X19A	0
X19B	0
X19C	0
X19D	0
X19E	0
X19F	0
X20A	0
X20B	0
X20C	0
X20D	0
X20E	0
X20F	0
